year,tier,company_name,job_title,internship_stipend_raw,base_salary_raw,total_ctc_raw,cgpa_cutoff_raw,fte_only,remarks,internship_stipend,base_salary,total_ctc,cgpa_cutoff,has_internship,has_base,has_ctc,has_cgpa_cutoff,ctc_to_base_ratio,timestamp
2024,Tier 1,MICROCHIP TECH,"Software 1,2,3 ,Baan QA,Dynamics AX Analyst,Web Dev,ServiceNow Dev",,,30000,,,,,,0.3,,False,False,True,False,,2025-11-20 12:24:21.034360
2024,Tier 1,IDFC FIRST BANK,Application Engineer,,,40000,6.0,,,,,0.4,6.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,NETRADYNE,"Cloud-SDET,Embedded QA Engineer-SDET,QA IOT,Data Analyst,Bizz Systems",,,,7.5,,Shortlisted 8.4+,,,,7.5,False,False,False,True,,2025-11-20 12:24:21.034360
2024,Tier 1,RELTIO,Associate Software Engineer,,,,8.0,,,,,,8.0,False,False,False,True,,2025-11-20 12:24:21.034360
2024,Tier 1,AKAMAI,Software Engineer,,,,,,,,,,,False,False,False,False,,2025-11-20 12:24:21.034360
2024,Tier 1,OBSERVE.AI,Software Engineer,,,75000,8.0,,,,,0.75,8.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,JAR APP,SDE Intern - Backend,,,40000,7.5,,,,,0.4,7.5,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,NETCORE CLOUD,Associate Software Engineer,,,20000,,,,,,0.2,,False,False,True,False,,2025-11-20 12:24:21.034360
2024,Tier 1,COHESITY,Member of Technical Staff(R&D),,,,8.0,,,,,,8.0,False,False,False,True,,2025-11-20 12:24:21.034360
2024,Tier 1,PALO ALTO,Software Engineer -IT,,,,,,Resume Based Shortlisting,,,,,False,False,False,False,,2025-11-20 12:24:21.034360
2024,Tier 1,RTBRICK,Software Developer,,,30000,8.0,,"90% in 10th,85% in 12th",,,0.3,8.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,KANGASYS,Junior Software Developer,,,30000,7.0,,Resume Based Shortlisting,,,0.3,7.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,ZSCALER,Associate Security Researcher,,,50000,6.5,,,,,0.5,6.5,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,LOWE'S INDIA,Associate Software Engineer,,,,6.0,,,,,,6.0,False,False,False,True,,2025-11-20 12:24:21.034360
2024,Tier 1,BITGO,Backend Engineer,,,,,,,,,,,False,False,False,False,,2025-11-20 12:24:21.034360
2024,Tier 1,FLEXERA,Associate Software Engineer,,,,6.0,,,,,,6.0,False,False,False,True,,2025-11-20 12:24:21.034360
2024,Tier 1,TATA COMMUNICATIONS,Product Manager/Cyber Security/Software Engineer,,,,6.5,,,,,,6.5,False,False,False,True,,2025-11-20 12:24:21.034360
2024,Tier 1,GAMESKRAFT,Software Engineer Full Stack,,,,7.0,,Resume Based Shortlisting,,,,7.0,False,False,False,True,,2025-11-20 12:24:21.034360
2024,Tier 1,COINSWITCH,SDE-1,,,,,,Resume Based Shortlisting,,,,,False,False,False,False,,2025-11-20 12:24:21.034360
2024,Tier 1,MOTOROLA,Associate Software Engineer,,,,6.5,,Shortlisted 8.5+ and 90% in Boards,,,,6.5,False,False,False,True,,2025-11-20 12:24:21.034360
2024,Tier 1,AMAGI,SDET,,,,8.0,,Resume Based Shortlisting,,,,8.0,False,False,False,True,,2025-11-20 12:24:21.034360
2024,Tier 1,RTCAMP,Software Engineer Trainee,,,,,,Remote Work+Resume Based Shortlist,,,,,False,False,False,False,,2025-11-20 12:24:21.034360
2024,Tier 1,AVEVA,Software Engineer,,,,6.5,,Resume Based Shortlisting,,,,6.5,False,False,False,True,,2025-11-20 12:24:21.034360
2024,Tier 1,MYNTRA,Software Engineer,,,,7.0,,,,,,7.0,False,False,False,True,,2025-11-20 12:24:21.034360
2024,Tier 1,MEESHO,Business Analyst,,,,,,,,,,,False,False,False,False,,2025-11-20 12:24:21.034360
2025,Tier 1,PhonePe,Software Engineer,80000.0,,19.5,6,,,0.8,,19.5,6.0,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Couchbase,Dev,125000.0,,20,8,,,1.25,,20.0,8.0,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Cisco,Software Engineer,98000.0,,,,,,0.98,,,,True,False,False,False,,2025-11-20 12:24:21.034360
2025,Tier 1,Zomato,Software Development Engineer - 1,60000.0,,24,~9,,,0.6,,24.0,9.0,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,StockX,Associate Software Engineer,60000.0,,20,9.5,,,0.6,,20.0,9.5,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Vyapar App,Software Engineer - 1,50000.0,,15,9,,,0.5,,15.0,9.0,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Okta,Software Engineer,100000.0,,13.75,8,,,1.0,,13.75,8.0,True,False,True,True,,2025-11-20 12:24:21.034360
