Year,College,Company,Date_OA,Offline_Test,Tier,CTC_LPA,Base_LPA,Internship_Stipend_Monthly_INR,Role,Type,Total_Offers,CGPA_Cutoff,Allows_ECE,Allows_MCA,Allows_MTech_CS,Comments,Source_File
2025,PES,Thorogood Associates,16-10-2024,FALSE,Tier 1,14.81,8,150000,Data/Ai Consultant (Data Cleaning),FTE,1,8,FALSE,FALSE,FALSE,TOTALLY DIFF. TYPE OF SELECTIONS. 3 Rounds of Case Studies conducted in Final interviews. Sent a second mail individually for people who were shortlisted. Shortlisted 9 this time. further shortlisted 4 for office round,Cross-College companies info - PES.csv
2025,PES,RSM USI (T2),16-10-2024,TRUE,Tier 2,7.7,,,Business Applications,FTE,,6,TRUE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,HPE (T2),17-10-2024,FALSE,Tier 2,7.5,,20000,"Technical Solution Consultant, Managed Services",FTE + Intern,10,7,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Prime Numbers,24-10-2024,FALSE,Tier 1,12,,1200000,SE 1,FTE + Intern,,7,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Juniper Network,22-10-2024,FALSE,Tier 1,15.5,,1550000,"COO Intern, DevOps Intern",Internship (PBC),16,7.5,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Progress,20-10-2024,FALSE,Tier 1,,,30000,Software Engineer Intern,Internship (PBC),,,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Celstream (T2),06-12-2024,TRUE,Tier 2,8,,30000,Software Engineer,FTE + Intern,4,7.7,TRUE,FALSE,FALSE,"Shortlisted 110 people for Test.Then shortlisted 7 from ECE, 15 from CSE",Cross-College companies info - PES.csv
2025,PES,ConSecure (T2),30-10-2024,FALSE,Tier 2,12,,25000,SE-Next Gen GenAI,FTE + Intern,4,6,TRUE,TRUE,TRUE,,Cross-College companies info - PES.csv
2025,PES,EY India,07-11-2024,FALSE,Tier 2,,,850000,Associate Consultant,FTE + Intern,18,,,,,,Cross-College companies info - PES.csv
2025,PES,NetCore Cloud,08-11-2024,FALSE,Tier 1,12,,15000,,FTE + Intern,,6,FALSE,TRUE,FALSE,"(18 months Bond), Shortlisted 35 for interview, 8 from MCA, rest from CS",Cross-College companies info - PES.csv
2025,PES,TexTron,22-11-2024,FALSE,Tier 2,,,600000,,Internship (PBC),,7,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Media.net,22-10-2024,FALSE,Tier 1,15,13,,SRE,FTE + Intern,,6,TRUE,FALSE,TRUE,,Cross-College companies info - PES.csv
2025,PES,Fluidyn (T2),25-10-2024,FALSE,Tier 2,6,,20000,,FTE + Intern,,7.5,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
